# Splicing Genesets (v1)
# geneset_id	axis	gene_symbol
U1_CORE	CORE_SPLICEOSOME	SNRPC
U1_CORE	CORE_SPLICEOSOME	SNRPA
U1_CORE	CORE_SPLICEOSOME	SNRNP70
U2_CORE	CORE_SPLICEOSOME	SF3A1
U2_CORE	CORE_SPLICEOSOME	SF3A2
U2_CORE	CORE_SPLICEOSOME	SF3B1
U4_U6_CORE	CORE_SPLICEOSOME	PRPF3
U4_U6_CORE	CORE_SPLICEOSOME	PRPF4
U4_U6_CORE	CORE_SPLICEOSOME	SNRNP200
U5_CORE	CORE_SPLICEOSOME	PRPF8
U5_CORE	CORE_SPLICEOSOME	EFTUD2
U5_CORE	CORE_SPLICEOSOME	SNRNP40
SF3B_AXIS	CORE_SPLICEOSOME	SF3B1
SF3B_AXIS	CORE_SPLICEOSOME	SF3B2
SF3B_AXIS	CORE_SPLICEOSOME	SF3B3
SRSF_SR	REGULATORS	SRSF1
SRSF_SR	REGULATORS	SRSF2
SRSF_SR	REGULATORS	SRSF3
HNRNP	REGULATORS	HNRNPA1
HNRNP	REGULATORS	HNRNPA2B1
HNRNP	REGULATORS	HNRNPC
MINOR_U12	MINOR_SPLICEOSOME	SNRNP35
MINOR_U12	MINOR_SPLICEOSOME	SNRNP48
MINOR_U12	MINOR_SPLICEOSOME	ZRSR2
NMD_SURVEILLANCE	SURVEILLANCE	UPF1
NMD_SURVEILLANCE	SURVEILLANCE	UPF2
NMD_SURVEILLANCE	SURVEILLANCE	SMG1
CPA_3P_END	SURVEILLANCE	CPSF1
CPA_3P_END	SURVEILLANCE	CSTF1
CPA_3P_END	SURVEILLANCE	CPSF3
TRANSCRIPTION_COUPLING	TRANSCRIPTION	POLR2A
TRANSCRIPTION_COUPLING	TRANSCRIPTION	CDK9
TRANSCRIPTION_COUPLING	TRANSCRIPTION	SUPT5H
TRANSCRIPTION_COUPLING	TRANSCRIPTION	SUPT6H
TRANSCRIPTION_COUPLING	TRANSCRIPTION	AFF4
TRANSCRIPTION_COUPLING	TRANSCRIPTION	ELL
U2AF_AXIS	U2AF	U2AF1
U2AF_AXIS	U2AF	U2AF2
U2AF_AXIS	U2AF	SF1
U2AF_AXIS	U2AF	ZRSR2
SPLICE_EA_PHASE	ASSEMBLY_EA	SNRPC
SPLICE_EA_PHASE	ASSEMBLY_EA	SNRPA
SPLICE_EA_PHASE	ASSEMBLY_EA	SNRNP70
SPLICE_EA_PHASE	ASSEMBLY_EA	U2AF1
SPLICE_EA_PHASE	ASSEMBLY_EA	U2AF2
SPLICE_EA_PHASE	ASSEMBLY_EA	SF1
SPLICE_B_PHASE	ASSEMBLY_B	PRPF3
SPLICE_B_PHASE	ASSEMBLY_B	PRPF4
SPLICE_B_PHASE	ASSEMBLY_B	PRPF6
SPLICE_B_PHASE	ASSEMBLY_B	PRPF8
SPLICE_B_PHASE	ASSEMBLY_B	SNRNP200
SPLICE_B_PHASE	ASSEMBLY_B	EFTUD2
SPLICE_CATALYTIC_PHASE	ASSEMBLY_CAT	PRPF8
SPLICE_CATALYTIC_PHASE	ASSEMBLY_CAT	CDC5L
SPLICE_CATALYTIC_PHASE	ASSEMBLY_CAT	SLU7
SPLICE_CATALYTIC_PHASE	ASSEMBLY_CAT	DHX15
